epoka,strata,perplexity
1428,0.063302,1.0653
1429,0.065319,1.0675
1430,0.066060,1.0683
1431,0.062826,1.0648
1432,0.065614,1.0678
1433,0.064164,1.0663
1434,0.064391,1.0665
1435,0.064687,1.0668
1436,0.063097,1.0651
1437,0.064212,1.0663
1438,0.063157,1.0652
1439,0.064692,1.0668
1440,0.064980,1.0671
1441,0.063618,1.0657
1442,0.062380,1.0644
1443,0.064212,1.0663
1444,0.065462,1.0677
1445,0.065531,1.0677
1446,0.065484,1.0677
1447,0.066060,1.0683
1448,0.066050,1.0683
1449,0.061603,1.0635
1450,0.066702,1.0690
1451,0.064953,1.0671
1452,0.066026,1.0683
1453,0.062211,1.0642
1454,0.064839,1.0670
1455,0.064732,1.0669
1456,0.066328,1.0686
1457,0.066031,1.0683
1458,0.061957,1.0639
1459,0.064296,1.0664
1460,0.063840,1.0659
1461,0.066480,1.0687
1462,0.063594,1.0657
1463,0.063319,1.0654
1464,0.062613,1.0646
1465,0.068150,1.0705
1466,0.065838,1.0681
1467,0.061573,1.0635
1468,0.067237,1.0695
1469,0.064449,1.0666
1470,0.063206,1.0652
1471,0.066471,1.0687
1472,0.063413,1.0655
1473,0.066443,1.0687
1474,0.064165,1.0663
1475,0.066069,1.0683
1476,0.063545,1.0656
1477,0.064539,1.0667
1478,0.060730,1.0626
1479,0.062829,1.0648
1480,0.064152,1.0663
1481,0.066655,1.0689
1482,0.066060,1.0683
1483,0.064291,1.0664
1484,0.065371,1.0676
1485,0.063202,1.0652
1486,0.064888,1.0670
1487,0.064281,1.0664
1488,0.062560,1.0646
1489,0.065139,1.0673
1490,0.065465,1.0677
1491,0.065190,1.0674
1492,0.065202,1.0674
1493,0.064905,1.0671
1494,0.064396,1.0665
1495,0.066077,1.0683
1496,0.065649,1.0679
1497,0.066535,1.0688
1498,0.066015,1.0682
1499,0.065174,1.0673
1500,0.063067,1.0651
1501,0.066148,1.0684
1502,0.064552,1.0667
1503,0.065739,1.0679
1504,0.066112,1.0683
1505,0.065704,1.0679
1506,0.067746,1.0701
1507,0.068931,1.0714
1508,0.065345,1.0675
1509,0.067674,1.0700
1510,0.064807,1.0670
1511,0.065595,1.0678
1512,0.066132,1.0684
1513,0.064935,1.0671
1514,0.063630,1.0657
1515,0.067901,1.0703
1516,0.061705,1.0636
1517,0.064906,1.0671
1518,0.063704,1.0658
1519,0.063913,1.0660
1520,0.063145,1.0652
1521,0.062221,1.0642
1522,0.061860,1.0638
1523,0.060663,1.0625
1524,0.066308,1.0686
1525,0.062246,1.0642
1526,0.064890,1.0670
1527,0.067536,1.0699
1528,0.062149,1.0641
1529,0.063490,1.0655
1530,0.064914,1.0671
1531,0.068364,1.0708
1532,0.063740,1.0658
1533,0.063150,1.0652
1534,0.063694,1.0658
1535,0.068613,1.0710
1536,0.066360,1.0686
1537,0.064753,1.0669
1538,0.066877,1.0692
1539,0.065009,1.0672
1540,0.065709,1.0679
1541,0.065555,1.0678
1542,0.063539,1.0656
1543,0.065094,1.0673
1544,0.064866,1.0670
1545,0.066294,1.0685
1546,0.065131,1.0673
1547,0.065100,1.0673
1548,0.067188,1.0695
1549,0.063823,1.0659
1550,0.066772,1.0691
1551,0.064405,1.0665
1552,0.066306,1.0686
1553,0.065154,1.0673
1554,0.065972,1.0682
1555,0.061943,1.0639
1556,0.065031,1.0672
1557,0.064114,1.0662
1558,0.066797,1.0691
1559,0.063075,1.0651
1560,0.065853,1.0681
1561,0.064372,1.0665
1562,0.064837,1.0670
1563,0.064925,1.0671
1564,0.065187,1.0674
1565,0.064237,1.0663
1566,0.061883,1.0638
1567,0.064292,1.0664
1568,0.062226,1.0642
1569,0.064032,1.0661
1570,0.066288,1.0685
1571,0.062225,1.0642
1572,0.062136,1.0641
1573,0.064791,1.0669
1574,0.065504,1.0677
1575,0.065712,1.0679
1576,0.065314,1.0675
1577,0.062976,1.0650
1578,0.062989,1.0650
1579,0.063863,1.0659
1580,0.061918,1.0639
1581,0.062271,1.0643
1582,0.062075,1.0640
1583,0.062811,1.0648
1584,0.063919,1.0660
1585,0.066980,1.0693
1586,0.067374,1.0697
1587,0.065066,1.0672
1588,0.062717,1.0647
1589,0.064507,1.0666
1590,0.063242,1.0653
1591,0.063953,1.0660
1592,0.063944,1.0660
1593,0.067035,1.0693
1594,0.062832,1.0648
1595,0.065983,1.0682
1596,0.062438,1.0644
1597,0.064766,1.0669
1598,0.064702,1.0668
1599,0.062459,1.0645
1600,0.062819,1.0648
1601,0.065622,1.0678
1602,0.066671,1.0689
1603,0.066403,1.0687
1604,0.063621,1.0657
1605,0.064518,1.0666
1606,0.062518,1.0645
1607,0.064567,1.0667
1608,0.063753,1.0658
1609,0.065712,1.0679
1610,0.064329,1.0664
1611,0.062285,1.0643
1612,0.062926,1.0649
1613,0.064660,1.0668
1614,0.064318,1.0664
1615,0.064295,1.0664
1616,0.063009,1.0650
1617,0.066729,1.0690
1618,0.062277,1.0643
1619,0.065473,1.0677
1620,0.068293,1.0707
1621,0.066383,1.0686
1622,0.065694,1.0679
1623,0.061941,1.0639
1624,0.063055,1.0651
1625,0.062603,1.0646
1626,0.064922,1.0671
1627,0.065267,1.0674
1628,0.060875,1.0628
1629,0.064548,1.0667
1630,0.065255,1.0674
1631,0.064317,1.0664
1632,0.065980,1.0682
1633,0.065723,1.0679
1634,0.066194,1.0684
1635,0.062048,1.0640
1636,0.065563,1.0678
1637,0.063460,1.0655
1638,0.063956,1.0660
1639,0.066194,1.0684
1640,0.062580,1.0646
1641,0.066627,1.0689
1642,0.063717,1.0658
1643,0.062325,1.0643
1644,0.063636,1.0657
1645,0.064007,1.0661
1646,0.062892,1.0649
1647,0.061983,1.0639
1648,0.064402,1.0665
1649,0.065238,1.0674
1650,0.065724,1.0679
1651,0.062879,1.0649
1652,0.063622,1.0657
1653,0.065534,1.0677
1654,0.065493,1.0677
1655,0.065624,1.0678
1656,0.067457,1.0698
1657,0.064018,1.0661
1658,0.062752,1.0648
1659,0.066734,1.0690
1660,0.063715,1.0658
1661,0.062837,1.0649
1662,0.061995,1.0640
1663,0.066891,1.0692
1664,0.061168,1.0631
1665,0.067775,1.0701
1666,0.061966,1.0639
1667,0.065067,1.0672
1668,0.062390,1.0644
1669,0.063849,1.0659
1670,0.064223,1.0663
1671,0.063377,1.0654
1672,0.065537,1.0677
1673,0.063565,1.0656
1674,0.063690,1.0658
1675,0.061247,1.0632
1676,0.060925,1.0628
1677,0.063904,1.0660
1678,0.062448,1.0644
1679,0.063058,1.0651
1680,0.063927,1.0660
1681,0.063432,1.0655
1682,0.064350,1.0665
1683,0.065564,1.0678
1684,0.064729,1.0669
1685,0.066730,1.0690
1686,0.064842,1.0670
1687,0.065147,1.0673
1688,0.062972,1.0650
1689,0.063076,1.0651
1690,0.062296,1.0643
1691,0.064776,1.0669
1692,0.063620,1.0657
